ID,SpeciesLevel,SpeciesCount,BranchCount,BranchLeafCount,BranchInteriorCount,TreeDepth,SpeciesProbMax,SpeciesProbMin,HomologuesToAnalyzeCount,HomologuesSuspiciousRecordsCount,HasHomologuesSuspiciousRecords,HomologueCount,DatabaseNotExhausted
MISEQ01:3:000000000-ALULJ:1:2109:16386:26504_CONS_SUB_SUB_CMP,True,1,1,0,1,9,1.0,1.0,0,0,False,44,False
MISEQ01:3:000000000-ALULJ:1:1109:9735:20153_CONS_SUB_SUB,True,2,2,0,2,11,0.952,0.008,13,2,True,48,False
MISEQ01:3:000000000-ALULJ:1:1110:11582:14014_CONS_SUB_SUB,False,8,8,0,8,11,0.952,0.001,0,0,False,47,False
M00595:3:000000000-ALULJ:1:2104:13827:9418_CONS_SUB_SUB_CMP,False,4,4,0,4,13,0.014,0.001,0,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1104:3446:9649_CONS_SUB_SUB,False,2,2,0,2,13,0.209,0.008,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2101:9156:24113_CONS_SUB_SUB_CMP,False,10,10,0,10,12,0.209,0.001,0,0,False,50,True
MISEQ01:3:000000000-ALULJ:1:2103:20805:27837_CONS_SUB_SUB,False,6,6,0,6,12,0.611,0.001,0,0,False,50,True
M00595:3:000000000-ALULJ:1:1107:17325:7410_CONS_SUB_SUB,False,7,7,6,1,3,0.135,0.002,2,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1106:11906:28075_CONS_SUB_SUB_CMP,False,5,5,4,1,8,0.238,0.001,0,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1104:7137:13474_CONS_SUB_SUB_CMP,False,14,14,0,14,4,0.041,0.001,0,0,False,50,False
M01896:197:000000000-ANEHB:1:2108:24627:4652_CONS_SUB_SUB,False,1,1,0,1,12,0.041,0.041,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1101:9960:25614_CONS_SUB_SUB,True,5,5,0,5,13,0.929,0.002,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2106:5954:5373_CONS_SUB_SUB,False,2,2,1,1,12,0.007,0.004,0,0,False,20,False
M00595:3:000000000-ALULJ:1:2102:2913:20549_CONS_SUB_SUB,False,6,6,0,6,14,0.402,0.001,0,0,False,19,True
M00595:3:000000000-ALULJ:1:1102:23158:16710_CONS_SUB_SUB,False,15,15,0,15,5,0.358,0.001,0,0,False,50,True
MISEQ01:3:000000000-ALULJ:1:2102:28628:13358_CONS_SUB_SUB,False,1,1,0,1,13,0.015,0.015,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1104:13420:24543_CONS_SUB_SUB,True,2,2,1,1,11,0.999,0.001,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2104:10037:20992_CONS_SUB_SUB,False,6,6,0,6,11,0.999,0.001,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1112:24075:23609_CONS_SUB_SUB,True,1,1,0,1,12,1.0,1.0,0,0,False,42,False
M01896:197:000000000-ANEHB:1:2110:23989:8645_CONS_SUB_SUB,False,9,9,6,3,13,0.032,0.002,0,0,False,12,True
M00595:3:000000000-ALULJ:1:1111:15504:15653_CONS_SUB_SUB,False,2,2,1,1,12,0.042,0.025,0,0,False,23,False
M00595:3:000000000-ALULJ:1:2110:8361:10345_CONS_SUB_SUB,False,9,9,0,9,9,0.427,0.002,0,0,False,48,False
MISEQ01:3:000000000-ALULJ:1:2104:4181:21092_CONS_SUB_SUB,False,1,1,0,1,13,0.863,0.863,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1112:8933:7969_CONS_SUB_SUB,False,4,4,3,1,9,0.185,0.103,0,0,False,23,False
M01896:197:000000000-ANEHB:1:2103:23050:3783_CONS_SUB_SUB_CMP,False,3,3,0,3,8,0.123,0.002,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2110:25654:11017_CONS_SUB_SUB,True,10,10,0,10,13,0.928,0.001,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1105:14108:12784_CONS_SUB_SUB_CMP,False,1,1,0,1,11,0.003,0.003,0,0,False,34,False
MISEQ01:3:000000000-ALULJ:1:1112:13882:8040_CONS_SUB_SUB,True,1,1,0,1,15,0.999,0.999,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1107:19052:24517_CONS_SUB_SUB,False,6,6,3,3,10,0.1,0.001,4,0,False,47,False
M00595:3:000000000-ALULJ:1:2106:4176:21839_CONS_SUB_SUB,False,2,2,1,1,11,0.754,0.04,1,0,False,6,False
MISEQ01:3:000000000-ALULJ:1:2112:29282:15555_CONS_SUB_SUB,True,1,1,0,1,11,1.0,1.0,1,0,False,22,False
M01896:197:000000000-ANEHB:1:2103:19163:13989_CONS_SUB_SUB,False,1,1,0,1,11,1.0,1.0,0,0,False,40,False
M01896:197:000000000-ANEHB:1:1101:24016:19462_CONS_SUB_SUB,False,2,2,1,1,11,0.59,0.09,1,0,False,6,False
M00595:3:000000000-ALULJ:1:2111:6220:6069_CONS_SUB_SUB,False,19,19,3,16,10,0.59,0.001,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2113:4768:11872_CONS_SUB_SUB_CMP,False,6,6,0,6,13,0.126,0.001,0,0,False,50,True
M00595:3:000000000-ALULJ:1:1109:19151:28546_CONS_SUB_SUB,False,7,7,1,6,13,0.221,0.002,0,0,False,50,False
M01896:197:000000000-ANEHB:1:1110:9237:24574_CONS_SUB_SUB,False,2,2,0,2,14,0.006,0.006,0,0,False,50,False
M01896:197:000000000-ANEHB:1:2107:22061:15986_CONS_SUB_SUB_CMP,False,5,5,0,5,13,0.035,0.005,0,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1103:14931:12677_CONS_SUB_SUB,False,8,8,0,8,12,0.233,0.001,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2107:11357:26431_CONS_SUB_SUB,False,2,2,0,2,4,0.056,0.002,0,0,False,50,True
M01896:197:000000000-ANEHB:1:2106:23646:22934_CONS_SUB_SUB_CMP,False,2,2,0,2,9,0.402,0.002,1,0,False,50,True
M00595:3:000000000-ALULJ:1:1103:26758:17970_CONS_SUB_SUB,False,2,2,1,1,12,0.125,0.107,0,0,False,7,False
M00595:3:000000000-ALULJ:1:2104:8108:25239_CONS_SUB_SUB_CMP,False,3,3,0,3,13,0.125,0.007,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2112:27888:10092_CONS_SUB_SUB,False,5,5,0,5,13,0.125,0.002,0,0,False,50,False
MISEQ01:3:000000000-ALULJ:1:1104:22512:8532_CONS_SUB_SUB,False,7,7,0,7,12,0.066,0.001,0,0,False,50,True
MISEQ01:3:000000000-ALULJ:1:2110:16549:22601_CONS_SUB_SUB_CMP,False,2,2,1,1,10,0.718,0.137,5,2,True,40,False
M00595:3:000000000-ALULJ:1:2110:22716:26434_CONS_SUB_SUB,False,2,2,1,1,3,0.902,0.053,0,0,False,50,True
MISEQ01:3:000000000-ALULJ:1:1103:20864:27362_CONS_SUB_SUB_CMP,False,4,4,0,4,14,0.004,0.001,0,0,False,50,False
M01896:197:000000000-ANEHB:1:1111:16157:14899_CONS_SUB_SUB_CMP,False,9,9,0,9,13,0.234,0.001,0,0,False,50,True
M00595:3:000000000-ALULJ:1:1101:22638:12340_CONS_SUB_SUB_CMP,False,1,1,0,1,11,0.001,0.001,0,0,False,6,False
M00595:3:000000000-ALULJ:1:2112:8515:6905_CONS_SUB_SUB,False,6,6,5,1,3,0.163,0.002,4,0,False,50,True
M00595:3:000000000-ALULJ:1:1114:14495:21209_CONS_SUB_SUB,False,6,6,5,1,3,0.247,0.002,0,0,False,50,True
M01896:197:000000000-ANEHB:1:1109:23219:20329_CONS_SUB_SUB,False,2,2,0,2,13,0.806,0.025,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2113:29113:17594_CONS_SUB_SUB_CMP,False,4,4,3,1,9,0.132,0.033,0,0,False,20,False
M00595:3:000000000-ALULJ:1:2113:18072:23198_CONS_SUB_SUB,False,2,2,1,1,11,0.605,0.078,0,0,False,26,False
MISEQ01:3:000000000-ALULJ:1:1101:15297:2336_CONS_SUB_SUB,True,1,1,0,1,12,1.0,1.0,1,0,False,9,False
MISEQ01:3:000000000-ALULJ:1:1108:15051:4862_CONS_SUB_SUB,False,4,4,2,2,13,1.0,0.003,0,0,False,50,False
M00595:3:000000000-ALULJ:1:2110:10119:26662_CONS_SUB_SUB,False,2,2,1,1,5,0.293,0.001,0,0,False,6,False
M00595:3:000000000-ALULJ:1:1109:18251:6227_CONS_SUB_SUB_CMP,False,1,1,0,1,4,0.001,0.001,1,0,False,50,False
M00595:3:000000000-ALULJ:1:1113:21825:18520_CONS_SUB_SUB,False,33,33,16,17,12,0.293,0.001,0,0,False,50,False
M00595:3:000000000-ALULJ:1:1105:29287:15286_CONS_SUB_SUB,False,6,6,5,1,9,0.142,0.001,0,0,False,9,False
