Tube,Description
1657-A,Scomberomorus cavalla
1657-I,Scomberomorus cavalla
1658-C,Scomberomorus cavalla
1666-A,Scomberomorus cavalla
1667-B,Scomberomorus cavalla
1669-B,Scomberomorus cavalla
1670-B,Scomberomorus cavalla
1673.C,Lutjanus campechanus
1655-A,Scomberomorus cavalla
1675-G,Lutjanus campechanus
1682-C3,Rhizoprionodon terraenovae
1683-A,Rhizoprionodon terraenovae
1657-B,Scomberomorus cavalla
1657-J,Scomberomorus cavalla
1658-D,Scomberomorus cavalla
1666-B,Scomberomorus cavalla
1667-C,Scomberomorus cavalla
1669-C,Scomberomorus cavalla
1670-C,Scomberomorus cavalla
1674-A,Lutjanus campechanus
1655-B,Scomberomorus cavalla
1675-H,Lutjanus campechanus
1682-D,Rhizoprionodon terraenovae
1683-B,Rhizoprionodon terraenovae
1657-C,Scomberomorus cavalla
1657-K,Scomberomorus cavalla
1658-E,Scomberomorus cavalla
1666-C,Scomberomorus cavalla
1666-D,Scomberomorus cavalla
1669-D,Scomberomorus cavalla
1670-D,Scomberomorus cavalla
1674-B,Lutjanus campechanus
1655-C,Scomberomorus cavalla
1675-I,Lutjanus campechanus
1682-E,Rhizoprionodon terraenovae
1683-C,Rhizoprionodon terraenovae
1657-D,Scomberomorus cavalla
1657-L,Scomberomorus cavalla
1658-F,Scomberomorus cavalla
1666-D,Scomberomorus cavalla
1667-E,Scomberomorus cavalla
1669-E,Scomberomorus cavalla
1670-E,Scomberomorus cavalla
1675-A,Lutjanus campechanus
1683-D,Rhizoprionodon terraenovae
1774-L,Thunnus atlanticus
1774-T,Thunnus atlanticus
1774-BB,Thunnus atlanticus
1683-L,Rhizoprionodon terraenovae
1685-C,Rhizoprionodon terraenovae
1686-A,Lutjanus campechanus
1696-A,Rhizoprionodon terraenovae
1696-I,Rhizoprionodon terraenovae
1707-C,Lutjanus campechanus
1707-K,Lutjanus campechanus
1774-D,Thunnus atlanticus
1683-E,Rhizoprionodon terraenovae
1774-M,Thunnus atlanticus
17774-U,Thunnus atlanticus
1774-CC,Thunnus atlanticus
1683-M,Rhizoprionodon terraenovae
1685-D,Rhizoprionodon terraenovae
1686-B,Lutjanus campechanus
1696-B,Rhizoprionodon terraenovae
1696-J,Rhizoprionodon terraenovae
1707-D,Lutjanus campechanus
1707-L,Lutjanus campechanus
1774-E,Thunnus atlanticus
1683-F,Rhizoprionodon terraenovae
1774-N,Thunnus atlanticus
1774-V,Thunnus atlanticus
1774-DD,Thunnus atlanticus
1683-N,Rhizoprionodon terraenovae
1685-E,Rhizoprionodon terraenovae
1686-G,Lutjanus campechanus
1696-C,Rhizoprionodon terraenovae
1701-A,Lutjanus campechanus
1707-E,Lutjanus campechanus
1707-M,Lutjanus campechanus
1774-F,Thunnus atlanticus
1683-G,Rhizoprionodon terraenovae
1774-O,Thunnus atlanticus
1774-W,Thunnus atlanticus
1774-EE,Thunnus atlanticus
1683-O,Rhizoprionodon terraenovae
1685-F,Rhizoprionodon terraenovae
1694-A,Rhizoprionodon terraenovae
1696-D,Rhizoprionodon terraenovae
1701-B,Lutjanus campechanus
1707-F,Lutjanus campechanus
1707-N,Lutjanus campechanus
1774-G,Thunnus atlanticus
1683-H,Rhizoprionodon terraenovae
1774-P,Thunnus atlanticus
1774-X,Thunnus atlanticus
1774-FF,Thunnus atlanticus
1683-P,Rhizoprionodon terraenovae
1685-G,Rhizoprionodon terraenovae
1694-B,Rhizoprionodon terraenovae
1696-E,Rhizoprionodon terraenovae
1701-C,Lutjanus campechanus
1707-G,Lutjanus campechanus
1707-O,Lutjanus campechanus
1774-H,Thunnus atlanticus
1683-I,Rhizoprionodon terraenovae
1774-Q,Thunnus atlanticus
1774-Y,Thunnus atlanticus
1774-GG1,Thunnus atlanticus
1684-A,Rhizoprionodon terraenovae
1685-H,Rhizoprionodon terraenovae
1694-C,Rhizoprionodon terraenovae
1696-F,Rhizoprionodon terraenovae
1706-A,Lutjanus campechanus
1707-H,Lutjanus campechanus
1774-A,Thunnus atlanticus
1774-I,Thunnus atlanticus
1683-J,Rhizoprionodon terraenovae
1774-R,Thunnus atlanticus
1774-Z,Thunnus atlanticus
1774-GG2,Thunnus atlanticus
1685-A,Rhizoprionodon terraenovae
1685-I,Rhizoprionodon terraenovae
1694-D,Rhizoprionodon terraenovae
1696-G,Rhizoprionodon terraenovae
1707-A,Lutjanus campechanus
1707-I,Lutjanus campechanus
1774-B,Thunnus atlanticus
1774-J,Thunnus atlanticus
1683-K,Rhizoprionodon terraenovae
1774-S,Thunnus atlanticus
1774-AA,Thunnus atlanticus
1774-GG3,Thunnus atlanticus
1685-B,Rhizoprionodon terraenovae
1685-J,Rhizoprionodon terraenovae
1694-E,Rhizoprionodon terraenovae
1696-H,Rhizoprionodon terraenovae
1707-B,Lutjanus campechanus
1707-J,Lutjanus campechanus
1774-C,Thunnus atlanticus
1774-K,Thunnus atlanticus
1659-A,Scomberomorus cavalla
1708-B,Lutjanus campechanus
1772-H,Thunnus atlanticus
1773-G,Thunnus atlanticus
1659-I,Scomberomorus cavalla
1660-A,Lutjanus campechanus
1660-I,Lutjanus campechanus
1660-Q,Lutjanus campechanus
1691-D,Rachycentron canadum
1693-F,Rhizoprionodon terraenovae
1695-H,Rhizoprionodon terraenovae
1695-P,Rhizoprionodon terraenovae
1659-B,Scomberomorus cavalla
1772-A,Thunnus atlanticus
1772-I,Thunnus atlanticus
1773-H,Thunnus atlanticus
1659-J,Scomberomorus cavalla
1660-B,Lutjanus campechanus
1660-J,Lutjanus campechanus
1660-R,Lutjanus campechanus
1691-E,Rachycentron canadum
1695-A,Rhizoprionodon terraenovae
1695-I,Rhizoprionodon terraenovae
1695-Q,Rhizoprionodon terraenovae
1659-C,Scomberomorus cavalla
1772-B,Thunnus atlanticus
1773-A,Thunnus atlanticus
1775-A,Thunnus atlanticus
1659-K,Scomberomorus cavalla
1660-C,Lutjanus campechanus
1660-K,Lutjanus campechanus
1660-S,Lutjanus campechanus
1692-A,Rhizoprionodon terraenovae
1695-B,Rhizoprionodon terraenovae
1695-J,Rhizoprionodon terraenovae
1695-R,Rhizoprionodon terraenovae
1659-D,Scomberomorus cavalla
1772-C,Thunnus atlanticus
1773-B,Thunnus atlanticus
1775-B,Thunnus atlanticus
1659-L,Scomberomorus cavalla
1660-D,Lutjanus campechanus
1660-L,Lutjanus campechanus
1660-T,Lutjanus campechanus
1693-A,Rhizoprionodon terraenovae
1695-C,Rhizoprionodon terraenovae
1695-K,Rhizoprionodon terraenovae
1698-A,Lutjanus campechanus
1659-E,Scomberomorus cavalla
1772-D,Thunnus atlanticus
1773-C,Thunnus atlanticus
1775-C,Thunnus atlanticus
1659-M,Scomberomorus cavalla
1660-E,Lutjanus campechanus
1660-M,Lutjanus campechanus
1660-U,Lutjanus campechanus
1693-B,Rhizoprionodon terraenovae
1695-D,Rhizoprionodon terraenovae
1695-L,Rhizoprionodon terraenovae
1704-A,Lutjanus campechanus
1659-F,Scomberomorus cavalla
1772-E,Thunnus atlanticus
1773-D,Thunnus atlanticus
1775-D,Thunnus atlanticus
1659-N,Scomberomorus cavalla
1660-F,Lutjanus campechanus
1660-N,Lutjanus campechanus
1691-A,Rachycentron canadum
1693-C,Rhizoprionodon terraenovae
1695-E,Rhizoprionodon terraenovae
1695-M,Rhizoprionodon terraenovae
1704-B,Lutjanus campechanus
1659-G,Scomberomorus cavalla
1772-F,Thunnus atlanticus
1773-E,Thunnus atlanticus
1775-E,Thunnus atlanticus
1659-O,Scomberomorus cavalla
1660-G,Lutjanus campechanus
1660-O,Lutjanus campechanus
1691-B,Rachycentron canadum
1693-D,Rhizoprionodon terraenovae
1695-F,Rhizoprionodon terraenovae
1695-N,Rhizoprionodon terraenovae
1704-C,Lutjanus campechanus
1659-H,Scomberomorus cavalla
1772-G,Thunnus atlanticus
1773-F,Thunnus atlanticus
1775-F,Thunnus atlanticus
1659-P,Scomberomorus cavalla
1660-H,Lutjanus campechanus
1660-P,Lutjanus campechanus
1691-C,Rachycentron canadum
1693-E,Rhizoprionodon terraenovae
1695-G,Rhizoprionodon terraenovae
1695-O,Rhizoprionodon terraenovae
1708-A,Lutjanus campechanus
1775-G,Thunnus atlanticus
1783-B,Scomberomorus cavalla
1784-C,Rhizoprionodon terraenovae
1785-D,Rhizoprionodon terraenovae
1775-O,Thunnus atlanticus
1775-W,Thunnus atlanticus
1775-FF,Thunnus atlanticus
1777-B,Thunnus atlanticus
1777-K,Thunnus atlanticus
1777-S,Thunnus atlanticus
1777-AA,Thunnus atlanticus
1779-F,Thunnus atlanticus
1775-H,Thunnus atlanticus
1783-C,Scomberomorus cavalla
1784-D,Rhizoprionodon terraenovae
1785-E,Rhizoprionodon terraenovae
1775-P,Thunnus atlanticus
1775-X,Thunnus atlanticus
1775-GG,Thunnus atlanticus
1777-C,Thunnus atlanticus
1777-L,Thunnus atlanticus
1777-T,Thunnus atlanticus
1777-BB,Thunnus atlanticus
1779-G,Thunnus atlanticus
1775-I,Thunnus atlanticus
1783-D,Scomberomorus cavalla
1784-E,Rhizoprionodon terraenovae
1785-F,Rhizoprionodon terraenovae
1775-Q,Thunnus atlanticus
1775-Z,Thunnus atlanticus
1775-HH,Thunnus atlanticus
1777-E,Thunnus atlanticus
1777-M,Thunnus atlanticus
1777-U,Thunnus atlanticus
1778-A,Thunnus atlanticus
1779-H,Thunnus atlanticus
1775-J,Thunnus atlanticus
1783-E,Scomberomorus cavalla
1784-F,Rhizoprionodon terraenovae
1788-A,Seriola dumerili
1775-R,Thunnus atlanticus
1775-AA,Thunnus atlanticus
1775-II,Thunnus atlanticus
1777-F,Thunnus atlanticus
1777-N,Thunnus atlanticus
1777-V,Thunnus atlanticus
1779-A,Thunnus atlanticus
1781-A,Scomberomorus cavalla
1775-K,Thunnus atlanticus
1783-F,Scomberomorus cavalla
1784-G,Rhizoprionodon terraenovae
1900-A,Thunnus albacares
1775-S,Thunnus atlanticus
1775-BB,Thunnus atlanticus
1775-JJ,Thunnus atlanticus
1777-G,Thunnus atlanticus
1777-O,Thunnus atlanticus
1777-W,Thunnus atlanticus
1779-B,Thunnus atlanticus
1782-A,Scomberomorus cavalla
1775-L,Thunnus atlanticus
1783-G,Scomberomorus cavalla
1785-A,Rhizoprionodon terraenovae
1900-B,Thunnus albacares
1775-T,Thunnus atlanticus
1775-CC,Thunnus atlanticus
1775-KK,Thunnus atlanticus
1777-H,Thunnus atlanticus
1777-P,Thunnus atlanticus
1777-X,Thunnus atlanticus
1779-C,Thunnus atlanticus
1782-B,Scomberomorus cavalla
1775-M,Thunnus atlanticus
1784-A,Rhizoprionodon terraenovae
1785-B,Rhizoprionodon terraenovae
1900-C,Thunnus albacares
1775-U,Thunnus atlanticus
1775-DD,Thunnus atlanticus
1775-LL,Thunnus atlanticus
1777-I,Thunnus atlanticus
1777-Q,Thunnus atlanticus
1777-Y,Thunnus atlanticus
1779-C1,Thunnus atlanticus
1782-C,Scomberomorus cavalla
1775-N,Thunnus atlanticus
1784-B,Rhizoprionodon terraenovae
1785-C,Rhizoprionodon terraenovae
1900-D,Thunnus albacares
1775-V,Thunnus atlanticus
1775-EE,Thunnus atlanticus
1777-A,Thunnus atlanticus
1777-J,Thunnus atlanticus
1777-R,Thunnus atlanticus
1777-Z,Thunnus atlanticus
1779-D,Thunnus atlanticus
1783-A,Scomberomorus cavalla
1900-E,Thunnus albacares
1939-A,Thunnus albacares
1941-B,Thunnus albacares
1943-A,Thunnus albacares
1900-M,Thunnus albacares
1903-C,Thunnus albacares
1903-J,Thunnus albacares
1904-B2,Thunnus albacares
1904-I,Thunnus albacares
1909-B,Thunnus albacares
1909-K,Thunnus albacares
1936-E,Thunnus albacares
1900-F,Thunnus albacares
1939-B,Thunnus albacares
1941-C,Thunnus albacares
1943-B,Thunnus albacares
1900-N,Thunnus albacares
1903-D,Thunnus albacares
1903-K,Thunnus albacares
1904-B3,Thunnus albacares
1904-J,Thunnus albacares
1909-C,Thunnus albacares
1909-L,Thunnus albacares
1936-F,Thunnus albacares
1900-G,Thunnus albacares
1939-C,Thunnus albacares
1941-D,Thunnus albacares
1943-C,Thunnus albacares
1900-O,Thunnus albacares
1903-D1,Thunnus albacares
1903-L,Thunnus albacares
1904-C,Thunnus albacares
1904-K,Thunnus albacares
1909-D,Thunnus albacares
1909-M,Thunnus albacares
1936-G,Thunnus albacares
1900-H,Thunnus albacares
1939-D,Thunnus albacares
1941-E,Thunnus albacares
1943-D1,Thunnus albacares
1900-P,Thunnus albacares
1903-E,Thunnus albacares
1903-M,Thunnus albacares
1904-D,Thunnus albacares
1904-L,Thunnus albacares
1909-E,Thunnus albacares
1909-N,Thunnus albacares
1936-H,Thunnus albacares
1900-I,Thunnus albacares
1939-E,Thunnus albacares
1941-F,Thunnus albacares
1943-D2,Thunnus albacares
1900-Q,Thunnus albacares
1903-F,Thunnus albacares
1903-O,Thunnus albacares
1904-E,Thunnus albacares
1904-M,Thunnus albacares
1909-F,Thunnus albacares
1909-O,Thunnus albacares
1937-A,Thunnus albacares
1900-J,Thunnus albacares
1940-A,Thunnus albacares
1942-A,Thunnus albacares
1943-D3,Thunnus albacares
1900-R,Thunnus albacares
1903-G,Thunnus albacares
1903-P,Thunnus albacares
1904-F,Thunnus albacares
1904-N,Thunnus albacares
1909-G,Thunnus albacares
1909-P,Thunnus albacares
1937-B,Thunnus albacares
1900-K,Thunnus albacares
1940-B,Thunnus albacares
1942-B,Thunnus albacares
1943-E,Thunnus albacares
1903-A,Thunnus albacares
1903-H,Thunnus albacares
1904-A,Thunnus albacares
1904-G,Thunnus albacares
1908-A,Thunnus albacares
1909-I,Thunnus albacares
1909-Q,Thunnus albacares
1938-A,Thunnus albacares
1900-L,Thunnus albacares
1941-A,Thunnus albacares
1942-C,Thunnus albacares
1943-F,Thunnus albacares
1903-B,Thunnus albacares
1903-I,Thunnus albacares
1904-B,Thunnus albacares
1904-H,Thunnus albacares
1909-A,Thunnus albacares
1909-J,Thunnus albacares
1936-D,Thunnus albacares
1938-B,Thunnus albacares
1250-A,Rachycentron canadum
1286-A,Scomberomorus cavalla
1286-I,Scomberomorus cavalla
1324-C,Scomberomorus cavalla
1258-D,Rachycentron canadum
1258-L,Rachycentron canadum
1258-T1,Rachycentron canadum
1269-B,Scomberomorus cavalla
1270-E,Scomberomorus cavalla
1281-E,Scomberomorus cavalla
1282-E,Scomberomorus cavalla
1284-A,Scomberomorus cavalla
1250-B,Rachycentron canadum
1286-B,Scomberomorus cavalla
1286-J,Scomberomorus cavalla
1325-A,Scomberomorus cavalla
1258-E,Rachycentron canadum
1258-M,Rachycentron canadum
1258-T2,Rachycentron canadum
1269-C,Scomberomorus cavalla
1273-A,Scomberomorus cavalla
1281-F,Scomberomorus cavalla
1282-F,Scomberomorus cavalla
1284-B,Scomberomorus cavalla
1250-C,Rachycentron canadum
1286-C,Scomberomorus cavalla
1286-K,Scomberomorus cavalla
1326-A,Scomberomorus cavalla
1258-F,Rachycentron canadum
1258-N,Rachycentron canadum
1258-T3,Rachycentron canadum
1269-D,Scomberomorus cavalla
1273-B,Scomberomorus cavalla
1281-G,Scomberomorus cavalla
1283-A,Scomberomorus cavalla
1284-C,Scomberomorus cavalla
1250-D,Rachycentron canadum
1286-D,Scomberomorus cavalla
1286-L,Scomberomorus cavalla
1327-A,Scomberomorus cavalla
1258-G,Rachycentron canadum
1258-O,Rachycentron canadum
1258-U,Rachycentron canadum
1269-E,Scomberomorus cavalla
1273-C,Scomberomorus cavalla
1281-H,Scomberomorus cavalla
1283-B,Scomberomorus cavalla
1284-D,Scomberomorus cavalla
1250-E,Rachycentron canadum
1286-E,Scomberomorus cavalla
1286-N,Scomberomorus cavalla
1327-B,Scomberomorus cavalla
1258-H,Rachycentron canadum
1258-P,Rachycentron canadum
1225-V,Rachycentron canadum
1270-A,Scomberomorus cavalla
1281-A,Scomberomorus cavalla
1282-A,Scomberomorus cavalla
1283-C,Scomberomorus cavalla
1284-E,Scomberomorus cavalla
1258-A,Rachycentron canadum
1286-F,Scomberomorus cavalla
1323-A,Scomberomorus cavalla
1327-C,Scomberomorus cavalla
1258-I,Rachycentron canadum
1258-Q,Rachycentron canadum
1258-W,Rachycentron canadum
1270-B,Scomberomorus cavalla
1281-B,Scomberomorus cavalla
1282-B,Scomberomorus cavalla
1283-D,Scomberomorus cavalla
1284-F,Scomberomorus cavalla
1258-B,Rachycentron canadum
1286-G,Scomberomorus cavalla
1324-A,Scomberomorus cavalla
1258-J,Rachycentron canadum
1258-R,Rachycentron canadum
1258-X,Rachycentron canadum
1270-C,Scomberomorus cavalla
1281-C,Scomberomorus cavalla
1282-C,Scomberomorus cavalla
1283-E,Scomberomorus cavalla
1284-G,Scomberomorus cavalla
1258-C,Rachycentron canadum
1286-H,Scomberomorus cavalla
1324-B,Scomberomorus cavalla
1258-K,Rachycentron canadum
1258-S,Rachycentron canadum
1269-A,Scomberomorus cavalla
1270-D,Scomberomorus cavalla
1281-D,Scomberomorus cavalla
1282-D,Scomberomorus cavalla
1283-F,Scomberomorus cavalla
1285-A,Scomberomorus cavalla
1250-F,Rachycentron canadum
1273-D,Scomberomorus cavalla
1327-D,Scomberomorus cavalla
1549-A,Thunnus albacares
1554-G,Rachycentron canadum
1554-O,Rachycentron canadum
1518-B,Thunnus atlanticus
1518-I2,Thunnus atlanticus
1519-D,Coryphaena hippurus
1519-J3,Coryphaena hippurus
1546-G,Coryphaena hippurus
1546-O,Coryphaena hippurus
1546-W,Coryphaena hippurus
1547-A,Thunnus atlanticus
1327-E,Scomberomorus cavalla
1549-B,Thunnus albacares
1554-H,Rachycentron canadum
1554-P,Rachycentron canadum
1518-C,Thunnus atlanticus
1518-I3,Thunnus atlanticus
1519-E,Coryphaena hippurus
1519-K,Coryphaena hippurus
1546-H,Coryphaena hippurus
1546-P,Coryphaena hippurus
1546-X1,Coryphaena hippurus
1547-B,Thunnus atlanticus
1327-F,Scomberomorus cavalla
1554-A,Rachycentron canadum
1554-I,Rachycentron canadum
1554-Q,Rachycentron canadum
1518-D,Thunnus atlanticus
1518-J,Thunnus atlanticus
1519-F,Coryphaena hippurus
1519-L,Coryphaena hippurus
1546-I,Coryphaena hippurus
1546-Q,Coryphaena hippurus
1546-X2,Coryphaena hippurus
1547-C,Thunnus atlanticus
1327-G,Scomberomorus cavalla
1554-B,Rachycentron canadum
1554-J,Rachycentron canadum
1555-A,Rachycentron canadum
1518-E,Thunnus atlanticus
1518-K,Thunnus atlanticus
1519-G,Coryphaena hippurus
1519-M,Coryphaena hippurus
1546-J,Coryphaena hippurus
1546-R,Coryphaena hippurus
1546-X3,Coryphaena hippurus
1547-D,Thunnus atlanticus
1327-H,Scomberomorus cavalla
1554-C,Rachycentron canadum
1554-K,Rachycentron canadum
1555-B,Rachycentron canadum
1518-F,Thunnus atlanticus
1518-L,Thunnus atlanticus
1519-H,Coryphaena hippurus
1546-A,Coryphaena hippurus
1546-K,Coryphaena hippurus
1546-S,Coryphaena hippurus
1546-Y,Coryphaena hippurus
1547-E,Thunnus atlanticus
1327-I,Scomberomorus cavalla
1554-D,Rachycentron canadum
1554-L,Rachycentron canadum
1555-C,Rachycentron canadum
1518-G,Thunnus atlanticus
1519-A,Coryphaena hippurus
1519-I,Coryphaena hippurus
1546-B,Coryphaena hippurus
1546-L,Coryphaena hippurus
1546-T,Coryphaena hippurus
1546-Z,Coryphaena hippurus
1547-F,Thunnus atlanticus
1331-A,Scomberomorus cavalla
1554-E,Rachycentron canadum
1554-M,Rachycentron canadum
1555-E,Rachycentron canadum
1518-H,Thunnus atlanticus
1519-B,Coryphaena hippurus
1519-J1,Coryphaena hippurus
1546-C,Coryphaena hippurus
1546-M,Coryphaena hippurus
1546-U,Coryphaena hippurus
1546-AA,Coryphaena hippurus
1547-G,Thunnus atlanticus
1518-A,Thunnus atlanticus
1554-F,Rachycentron canadum
1554-N,Rachycentron canadum
1555-F,Rachycentron canadum
1518-I1,Thunnus atlanticus
1519-C,Coryphaena hippurus
1519-J2,Coryphaena hippurus
1546-F,Coryphaena hippurus
1546-N,Coryphaena hippurus
1546-V,Coryphaena hippurus
1546-BB,Coryphaena hippurus
1547-H,Thunnus atlanticus
1555-G,Rachycentron canadum
1836-K,Thunnus atlanticus
1836-S,Thunnus atlanticus
1836-AA,Thunnus atlanticus
1774-HH2,Thunnus atlanticus
1774-PP,Thunnus atlanticus
1822-A,Rhomboplites aurorubens
1832-A,Scomberomorus cavalla
1834-G,Seriola dumerili
1835-H,Seriola dumerili
1835-N1,Seriola dumerili
1835-R,Seriola dumerili
1556-A,Rachycentron canadum
1836-L,Thunnus atlanticus
1836-T,Thunnus atlanticus
1836-BB,Thunnus atlanticus
1774-HH3,Thunnus atlanticus
1774-QQ,Thunnus atlanticus
1824-A,Rhomboplites aurorubens
1833-F,Rachycentron canadum
1835-A,Seriola dumerili
1835-I,Seriola dumerili
1835-N2,Seriola dumerili
1836-B,Thunnus atlanticus
1561-A,Rachycentron canadum
1836-M,Thunnus atlanticus
1836-U,Thunnus atlanticus
1836-CC,Thunnus atlanticus
1774-JJ,Thunnus atlanticus
1776-A,Thunnus atlanticus
1824-B,Rhomboplites aurorubens
1834-A,Seriola dumerili
1835-B,Seriola dumerili
1835-J,Seriola dumerili
1835-N3,Seriola dumerili
1836-E,Thunnus atlanticus
1563-A,Rachycentron canadum
1836-N,Thunnus atlanticus
1836-V,Thunnus atlanticus
1837-A,Thunnus atlanticus
1774-KK,Thunnus atlanticus
1776-B,Thunnus atlanticus
1824-C,Rhomboplites aurorubens
1834-B,Seriola dumerili
1835-C,Seriola dumerili
1835-K,Seriola dumerili
1835-O1,Seriola dumerili
1836-F,Thunnus atlanticus
1564-A,Rachycentron canadum
1836-O,Thunnus atlanticus
1836-W,Thunnus atlanticus
1837-B,Thunnus atlanticus
1774-LL,Thunnus atlanticus
1776-C,Thunnus atlanticus
1825-A,Rhomboplites aurorubens
1834-C,Seriola dumerili
1835-D,Seriola dumerili
1835-L,Seriola dumerili
1835-O2,Seriola dumerili
1836-G,Thunnus atlanticus
1570-A,Rachycentron canadum
1836-P,Thunnus atlanticus
1836-X,Thunnus atlanticus
1837-C,Thunnus atlanticus
1774-MM,Thunnus atlanticus
1780-A,Elagatis bipinnulata
1829-A,Seriola dumerili
1834-D,Seriola dumerili
1835-E,Seriola dumerili
1835-M1,Seriola dumerili
1835-O3,Seriola dumerili
1836-H,Thunnus atlanticus
1588-A,Scomberomorus cavalla
1836-Q,Thunnus atlanticus
1836-Y,Thunnus atlanticus
1837-D,Thunnus atlanticus
1774-NN,Thunnus atlanticus
1817-A,Rhomboplites aurorubens
1831-A,Scomberomorus cavalla
1834-E,Seriola dumerili
1835-F,Seriola dumerili
1835-M2,Seriola dumerili
1835-P,Seriola dumerili
1836-I,Thunnus atlanticus
1774-HH1,Thunnus atlanticus
1836-R,Thunnus atlanticus
1836-Z,Thunnus atlanticus
1837-E,Thunnus atlanticus
1774-OO,Thunnus atlanticus
1820-A,Rhomboplites aurorubens
1831-B,Scomberomorus cavalla
1834-F,Seriola dumerili
1835-G,Seriola dumerili
1835-M3,Seriola dumerili
1835-Q,Seriola dumerili
1836-J,Thunnus atlanticus
1395-A,Scomberomorus cavalla
1395-B,Scomberomorus cavalla
1395-C,Scomberomorus cavalla
1395-D,Scomberomorus cavalla
1395-E,Scomberomorus cavalla
1395-F,Scomberomorus cavalla
1395-G,Scomberomorus cavalla
1395-H,Scomberomorus cavalla
1395-I,Scomberomorus cavalla
1395-J,Scomberomorus cavalla
1395-K,Scomberomorus cavalla
1395-L,Scomberomorus cavalla
1395-M,Scomberomorus cavalla
1395-N,Scomberomorus cavalla
1395-O,Scomberomorus cavalla
1395-P,Scomberomorus cavalla
1395-Q,Scomberomorus cavalla
1395-R,Scomberomorus cavalla
1395-S,Scomberomorus cavalla
1395-T,Scomberomorus cavalla
1395-U,Scomberomorus cavalla
1395-V,Scomberomorus cavalla
1395-W,Scomberomorus cavalla
1396-A,Scomberomorus cavalla
1396-B,Scomberomorus cavalla
1397-A,Scomberomorus cavalla
1397-B,Scomberomorus cavalla
1397-C,Scomberomorus cavalla
1397-D,Scomberomorus cavalla
1397-E1,Scomberomorus cavalla
1397-E2,Scomberomorus cavalla
1397-E3,Scomberomorus cavalla
1397-F,Scomberomorus cavalla
1397-G,Scomberomorus cavalla
1397-H,Scomberomorus cavalla
1397-I,Scomberomorus cavalla
1397-J,Scomberomorus cavalla
1397-K,Scomberomorus cavalla
1397-L,Scomberomorus cavalla
1397-M,Scomberomorus cavalla
1397-N,Scomberomorus cavalla
1397-O,Scomberomorus cavalla
1397-P,Scomberomorus cavalla
1397-Q,Scomberomorus cavalla
1397-R,Scomberomorus cavalla
1397-S,Scomberomorus cavalla
1397-T,Scomberomorus cavalla
1398-A,Scomberomorus cavalla
1398-AA,Scomberomorus cavalla
1398-B,Scomberomorus cavalla
1398-BB,Scomberomorus cavalla
1398-C,Scomberomorus cavalla
1398-CC,Scomberomorus cavalla
1398-D,Scomberomorus cavalla
1398-DD,Scomberomorus cavalla
1398-E,Scomberomorus cavalla
1398-EE,Scomberomorus cavalla
1398-F,Scomberomorus cavalla
1398-FF1,Scomberomorus cavalla
1398-FF2,Scomberomorus cavalla
1398-FF3,Scomberomorus cavalla
1398-G,Scomberomorus cavalla
1398-H,Scomberomorus cavalla
1398-I,Scomberomorus cavalla
1398-J,Scomberomorus cavalla
1398-K,Scomberomorus cavalla
1398-L,Scomberomorus cavalla
1398-M,Scomberomorus cavalla
1398-N,Scomberomorus cavalla
1398-O,Scomberomorus cavalla
1398-P,Scomberomorus cavalla
1398-Q,Scomberomorus cavalla
1398-R,Scomberomorus cavalla
1398-S,Scomberomorus cavalla
1398-T,Scomberomorus cavalla
1398-U,Scomberomorus cavalla
1398-V,Scomberomorus cavalla
1398-W,Scomberomorus cavalla
1398-X,Scomberomorus cavalla
1398-Y,Scomberomorus cavalla
1398-Z,Scomberomorus cavalla
1399-A,Scomberomorus cavalla
1399-B,Scomberomorus cavalla
1399-C,Scomberomorus cavalla
1399-D,Scomberomorus cavalla
1399-E,Scomberomorus cavalla
1399-F,Scomberomorus cavalla
1399-G,Scomberomorus cavalla
1399-H,Scomberomorus cavalla
1399-I,Scomberomorus cavalla
1399-J,Scomberomorus cavalla
1399-K,Scomberomorus cavalla
1399-L,Scomberomorus cavalla
1399-M,Scomberomorus cavalla
1399-N,Scomberomorus cavalla
1399-O,Scomberomorus cavalla
1399-AA,Scomberomorus cavalla
1399-BB,Scomberomorus cavalla
1399-CC,Scomberomorus cavalla
1399-DD,Scomberomorus cavalla
1399-EE,Scomberomorus cavalla
1399-P,Scomberomorus cavalla
1399-Q,Scomberomorus cavalla
1399-R,Scomberomorus cavalla
1399-S,Scomberomorus cavalla
1399-T,Scomberomorus cavalla
1399-U,Scomberomorus cavalla
1399-V,Scomberomorus cavalla
1399-W,Scomberomorus cavalla
1399-X,Scomberomorus cavalla
1399-Y,Scomberomorus cavalla
1399-Z,Scomberomorus cavalla
1401-A,Scomberomorus cavalla
1401-B,Scomberomorus cavalla
1401-C,Scomberomorus cavalla
1401-D,Scomberomorus cavalla
1401-E,Scomberomorus cavalla
1401-F,Scomberomorus cavalla
1401-G,Scomberomorus cavalla
1401-H,Scomberomorus cavalla
1401-I,Scomberomorus cavalla
1401-J,Scomberomorus cavalla
1401-K,Scomberomorus cavalla
1401-L,Scomberomorus cavalla
1401-M,Scomberomorus cavalla
1401-N,Scomberomorus cavalla
1401-O,Scomberomorus cavalla
1401-P,Scomberomorus cavalla
1401-Q,Scomberomorus cavalla
1401-R,Scomberomorus cavalla
1403-A,Scomberomorus cavalla
1403-B,Scomberomorus cavalla
1403-C,Scomberomorus cavalla
