SAMPLE_ID,SCINAME,GENUS
1683-J,Rhizoprionodon terraenovae,Rhizoprionodon
1774-R,Thunnus atlanticus,Thunnus
1774-Z,Thunnus atlanticus,Thunnus
1774-GG2,Thunnus atlanticus,Thunnus
1685-A,Rhizoprionodon terraenovae,Rhizoprionodon
1685-I,Rhizoprionodon terraenovae,Rhizoprionodon
1694-D,Rhizoprionodon terraenovae,Rhizoprionodon
1696-G,Rhizoprionodon terraenovae,Rhizoprionodon
1707-A,Lutjanus campechanus,Lutjanus
1707-I,Lutjanus campechanus,Lutjanus
1774-B,Thunnus atlanticus,Thunnus
1774-J,Thunnus atlanticus,Thunnus
1683-K,Rhizoprionodon terraenovae,Rhizoprionodon
1774-S,Thunnus atlanticus,Thunnus
1774-AA,Thunnus atlanticus,Thunnus
1774-GG3,Thunnus atlanticus,Thunnus
1685-B,Rhizoprionodon terraenovae,Rhizoprionodon
1685-J,Rhizoprionodon terraenovae,Rhizoprionodon
1694-E,Rhizoprionodon terraenovae,Rhizoprionodon
1696-H,Rhizoprionodon terraenovae,Rhizoprionodon
1707-B,Lutjanus campechanus,Lutjanus
1707-J,Lutjanus campechanus,Lutjanus
1774-C,Thunnus atlanticus,Thunnus
1774-K,Thunnus atlanticus,Thunnus
1659-A,Scomberomorus cavalla,Scomberomorus
1708-B,Lutjanus campechanus,Lutjanus
1772-H,Thunnus atlanticus,Thunnus
1773-G,Thunnus atlanticus,Thunnus
1659-I,Scomberomorus cavalla,Scomberomorus
1660-A,Lutjanus campechanus,Lutjanus
1660-I,Lutjanus campechanus,Lutjanus
1660-Q,Lutjanus campechanus,Lutjanus
1691-D,Rachycentron canadum,Rachycentron
1693-F,Rhizoprionodon terraenovae,Rhizoprionodon
1695-H,Rhizoprionodon terraenovae,Rhizoprionodon
1695-P,Rhizoprionodon terraenovae,Rhizoprionodon
1659-B,Scomberomorus cavalla,Scomberomorus
1772-A,Thunnus atlanticus,Thunnus
1772-I,Thunnus atlanticus,Thunnus
1773-H,Thunnus atlanticus,Thunnus
1659-J,Scomberomorus cavalla,Scomberomorus
1660-B,Lutjanus campechanus,Lutjanus
1660-J,Lutjanus campechanus,Lutjanus
1660-R,Lutjanus campechanus,Lutjanus
1691-E,Rachycentron canadum,Rachycentron
1695-A,Rhizoprionodon terraenovae,Rhizoprionodon
1695-I,Rhizoprionodon terraenovae,Rhizoprionodon
1695-Q,Rhizoprionodon terraenovae,Rhizoprionodon
1659-C,Scomberomorus cavalla,Scomberomorus
1772-B,Thunnus atlanticus,Thunnus
1773-A,Thunnus atlanticus,Thunnus
1775-A,Thunnus atlanticus,Thunnus
1659-K,Scomberomorus cavalla,Scomberomorus
1660-C,Lutjanus campechanus,Lutjanus
1660-K,Lutjanus campechanus,Lutjanus
1660-S,Lutjanus campechanus,Lutjanus
1692-A,Rhizoprionodon terraenovae,Rhizoprionodon
1695-B,Rhizoprionodon terraenovae,Rhizoprionodon
1695-J,Rhizoprionodon terraenovae,Rhizoprionodon
1695-R,Rhizoprionodon terraenovae,Rhizoprionodon
1659-D,Scomberomorus cavalla,Scomberomorus
1772-C,Thunnus atlanticus,Thunnus
1773-B,Thunnus atlanticus,Thunnus
1775-B,Thunnus atlanticus,Thunnus
1659-L,Scomberomorus cavalla,Scomberomorus
1660-D,Lutjanus campechanus,Lutjanus
1660-L,Lutjanus campechanus,Lutjanus
1660-T,Lutjanus campechanus,Lutjanus
1693-A,Rhizoprionodon terraenovae,Rhizoprionodon
1695-C,Rhizoprionodon terraenovae,Rhizoprionodon
1695-K,Rhizoprionodon terraenovae,Rhizoprionodon
1698-A,Lutjanus campechanus,Lutjanus
1659-E,Scomberomorus cavalla,Scomberomorus
1772-D,Thunnus atlanticus,Thunnus
1773-C,Thunnus atlanticus,Thunnus
1775-C,Thunnus atlanticus,Thunnus
1659-M,Scomberomorus cavalla,Scomberomorus
1660-E,Lutjanus campechanus,Lutjanus
1660-M,Lutjanus campechanus,Lutjanus
1660-U,Lutjanus campechanus,Lutjanus
1693-B,Rhizoprionodon terraenovae,Rhizoprionodon
1695-D,Rhizoprionodon terraenovae,Rhizoprionodon
1695-L,Rhizoprionodon terraenovae,Rhizoprionodon
1704-A,Lutjanus campechanus,Lutjanus
1659-F,Scomberomorus cavalla,Scomberomorus
1772-E,Thunnus atlanticus,Thunnus
1773-D,Thunnus atlanticus,Thunnus
1775-D,Thunnus atlanticus,Thunnus
1659-N,Scomberomorus cavalla,Scomberomorus
1660-F,Lutjanus campechanus,Lutjanus
1660-N,Lutjanus campechanus,Lutjanus
1691-A,Rachycentron canadum,Rachycentron
1693-C,Rhizoprionodon terraenovae,Rhizoprionodon
1695-E,Rhizoprionodon terraenovae,Rhizoprionodon
1695-M,Rhizoprionodon terraenovae,Rhizoprionodon
1704-B,Lutjanus campechanus,Lutjanus
1659-G,Scomberomorus cavalla,Scomberomorus
1772-F,Thunnus atlanticus,Thunnus
1773-E,Thunnus atlanticus,Thunnus
1775-E,Thunnus atlanticus,Thunnus
1659-O,Scomberomorus cavalla,Scomberomorus
1660-G,Lutjanus campechanus,Lutjanus
1660-O,Lutjanus campechanus,Lutjanus
1691-B,Rachycentron canadum,Rachycentron
1693-D,Rhizoprionodon terraenovae,Rhizoprionodon
1695-F,Rhizoprionodon terraenovae,Rhizoprionodon
1695-N,Rhizoprionodon terraenovae,Rhizoprionodon
1704-C,Lutjanus campechanus,Lutjanus
1659-H,Scomberomorus cavalla,Scomberomorus
1772-G,Thunnus atlanticus,Thunnus
1773-F,Thunnus atlanticus,Thunnus
1775-F,Thunnus atlanticus,Thunnus
1659-P,Scomberomorus cavalla,Scomberomorus
1660-H,Lutjanus campechanus,Lutjanus
1660-P,Lutjanus campechanus,Lutjanus
1691-C,Rachycentron canadum,Rachycentron
1693-E,Rhizoprionodon terraenovae,Rhizoprionodon
1695-G,Rhizoprionodon terraenovae,Rhizoprionodon
1695-O,Rhizoprionodon terraenovae,Rhizoprionodon
1708-A,Lutjanus campechanus,Lutjanus
1775-G,Thunnus atlanticus,Thunnus
1783-B,Scomberomorus cavalla,Scomberomorus
1784-C,Rhizoprionodon terraenovae,Rhizoprionodon
1785-D,Rhizoprionodon terraenovae,Rhizoprionodon
1775-O,Thunnus atlanticus,Thunnus
1775-W,Thunnus atlanticus,Thunnus
1775-FF,Thunnus atlanticus,Thunnus
1777-B,Thunnus atlanticus,Thunnus
1777-K,Thunnus atlanticus,Thunnus
1777-S,Thunnus atlanticus,Thunnus
1777-AA,Thunnus atlanticus,Thunnus
1779-F,Thunnus atlanticus,Thunnus
1775-H,Thunnus atlanticus,Thunnus
1783-C,Scomberomorus cavalla,Scomberomorus
1784-D,Rhizoprionodon terraenovae,Rhizoprionodon
1785-E,Rhizoprionodon terraenovae,Rhizoprionodon
1775-P,Thunnus atlanticus,Thunnus
1775-X,Thunnus atlanticus,Thunnus
1775-GG,Thunnus atlanticus,Thunnus
1777-C,Thunnus atlanticus,Thunnus
1777-L,Thunnus atlanticus,Thunnus
1777-T,Thunnus atlanticus,Thunnus
1777-BB,Thunnus atlanticus,Thunnus
1779-G,Thunnus atlanticus,Thunnus
1775-I,Thunnus atlanticus,Thunnus
1783-D,Scomberomorus cavalla,Scomberomorus
1784-E,Rhizoprionodon terraenovae,Rhizoprionodon
1785-F,Rhizoprionodon terraenovae,Rhizoprionodon
1775-Q,Thunnus atlanticus,Thunnus
1775-Z,Thunnus atlanticus,Thunnus
1775-HH,Thunnus atlanticus,Thunnus
1777-E,Thunnus atlanticus,Thunnus
1777-M,Thunnus atlanticus,Thunnus
1777-U,Thunnus atlanticus,Thunnus
1778-A,Thunnus atlanticus,Thunnus
1779-H,Thunnus atlanticus,Thunnus
1775-J,Thunnus atlanticus,Thunnus
1783-E,Scomberomorus cavalla,Scomberomorus
1784-F,Rhizoprionodon terraenovae,Rhizoprionodon
1788-A,Seriola dumerili,Seriola
1775-R,Thunnus atlanticus,Thunnus
1775-AA,Thunnus atlanticus,Thunnus
1775-II,Thunnus atlanticus,Thunnus
1777-F,Thunnus atlanticus,Thunnus
1777-N,Thunnus atlanticus,Thunnus
1777-V,Thunnus atlanticus,Thunnus
1779-A,Thunnus atlanticus,Thunnus
1781-A,Scomberomorus cavalla,Scomberomorus
1775-K,Thunnus atlanticus,Thunnus
1783-F,Scomberomorus cavalla,Scomberomorus
1784-G,Rhizoprionodon terraenovae,Rhizoprionodon
1900-A,Thunnus albacares,Thunnus
1775-S,Thunnus atlanticus,Thunnus
1775-BB,Thunnus atlanticus,Thunnus
1775-JJ,Thunnus atlanticus,Thunnus
1777-G,Thunnus atlanticus,Thunnus
1777-O,Thunnus atlanticus,Thunnus
1777-W,Thunnus atlanticus,Thunnus
1779-B,Thunnus atlanticus,Thunnus
1782-A,Scomberomorus cavalla,Scomberomorus
1775-L,Thunnus atlanticus,Thunnus
1783-G,Scomberomorus cavalla,Scomberomorus
1785-A,Rhizoprionodon terraenovae,Rhizoprionodon
1900-B,Thunnus albacares,Thunnus
1775-T,Thunnus atlanticus,Thunnus
1775-CC,Thunnus atlanticus,Thunnus
1775-KK,Thunnus atlanticus,Thunnus
1777-H,Thunnus atlanticus,Thunnus
1777-P,Thunnus atlanticus,Thunnus
1777-X,Thunnus atlanticus,Thunnus
1779-C,Thunnus atlanticus,Thunnus
1782-B,Scomberomorus cavalla,Scomberomorus
1775-M,Thunnus atlanticus,Thunnus
1784-A,Rhizoprionodon terraenovae,Rhizoprionodon
1785-B,Rhizoprionodon terraenovae,Rhizoprionodon
1900-C,Thunnus albacares,Thunnus
1775-U,Thunnus atlanticus,Thunnus
1775-DD,Thunnus atlanticus,Thunnus
1775-LL,Thunnus atlanticus,Thunnus
1777-I,Thunnus atlanticus,Thunnus
1777-Q,Thunnus atlanticus,Thunnus
1777-Y,Thunnus atlanticus,Thunnus
1779-C1,Thunnus atlanticus,Thunnus
1782-C,Scomberomorus cavalla,Scomberomorus
1775-N,Thunnus atlanticus,Thunnus
1784-B,Rhizoprionodon terraenovae,Rhizoprionodon
1785-C,Rhizoprionodon terraenovae,Rhizoprionodon
1900-D,Thunnus albacares,Thunnus
1775-V,Thunnus atlanticus,Thunnus
1775-EE,Thunnus atlanticus,Thunnus
1777-A,Thunnus atlanticus,Thunnus
1777-J,Thunnus atlanticus,Thunnus
1777-R,Thunnus atlanticus,Thunnus
1777-Z,Thunnus atlanticus,Thunnus
1779-D,Thunnus atlanticus,Thunnus
1783-A,Scomberomorus cavalla,Scomberomorus
1900-E,Thunnus albacares,Thunnus
1939-A,Thunnus albacares,Thunnus
1941-B,Thunnus albacares,Thunnus
1943-A,Thunnus albacares,Thunnus
1900-M,Thunnus albacares,Thunnus
1903-C,Thunnus albacares,Thunnus
1903-J,Thunnus albacares,Thunnus
1904-B2,Thunnus albacares,Thunnus
1904-I,Thunnus albacares,Thunnus
1909-B,Thunnus albacares,Thunnus
1909-K,Thunnus albacares,Thunnus
1936-E,Thunnus albacares,Thunnus
1900-F,Thunnus albacares,Thunnus
1939-B,Thunnus albacares,Thunnus
1941-C,Thunnus albacares,Thunnus
1943-B,Thunnus albacares,Thunnus
1900-N,Thunnus albacares,Thunnus
1903-D,Thunnus albacares,Thunnus
1903-K,Thunnus albacares,Thunnus
1904-B3,Thunnus albacares,Thunnus
1904-J,Thunnus albacares,Thunnus
1909-C,Thunnus albacares,Thunnus
1909-L,Thunnus albacares,Thunnus
1936-F,Thunnus albacares,Thunnus
1900-G,Thunnus albacares,Thunnus
1939-C,Thunnus albacares,Thunnus
1941-D,Thunnus albacares,Thunnus
1943-C,Thunnus albacares,Thunnus
1900-O,Thunnus albacares,Thunnus
1903-D1,Thunnus albacares,Thunnus
1903-L,Thunnus albacares,Thunnus
1904-C,Thunnus albacares,Thunnus
1904-K,Thunnus albacares,Thunnus
1909-D,Thunnus albacares,Thunnus
1909-M,Thunnus albacares,Thunnus
1936-G,Thunnus albacares,Thunnus
1900-H,Thunnus albacares,Thunnus
1939-D,Thunnus albacares,Thunnus
1941-E,Thunnus albacares,Thunnus
1943-D1,Thunnus albacares,Thunnus
1900-P,Thunnus albacares,Thunnus
1903-E,Thunnus albacares,Thunnus
1903-M,Thunnus albacares,Thunnus
1904-D,Thunnus albacares,Thunnus
1904-L,Thunnus albacares,Thunnus
1909-E,Thunnus albacares,Thunnus
1909-N,Thunnus albacares,Thunnus
1936-H,Thunnus albacares,Thunnus
1900-I,Thunnus albacares,Thunnus
1939-E,Thunnus albacares,Thunnus
1941-F,Thunnus albacares,Thunnus
1943-D2,Thunnus albacares,Thunnus
1900-Q,Thunnus albacares,Thunnus
1903-F,Thunnus albacares,Thunnus
1903-O,Thunnus albacares,Thunnus
1904-E,Thunnus albacares,Thunnus
1904-M,Thunnus albacares,Thunnus
1909-F,Thunnus albacares,Thunnus
1909-O,Thunnus albacares,Thunnus
1937-A,Thunnus albacares,Thunnus
1900-J,Thunnus albacares,Thunnus
1940-A,Thunnus albacares,Thunnus
1942-A,Thunnus albacares,Thunnus
1943-D3,Thunnus albacares,Thunnus
1900-R,Thunnus albacares,Thunnus
1903-G,Thunnus albacares,Thunnus
1903-P,Thunnus albacares,Thunnus
1904-F,Thunnus albacares,Thunnus
1904-N,Thunnus albacares,Thunnus
1909-G,Thunnus albacares,Thunnus
1909-P,Thunnus albacares,Thunnus
1937-B,Thunnus albacares,Thunnus
1900-K,Thunnus albacares,Thunnus
1940-B,Thunnus albacares,Thunnus
1942-B,Thunnus albacares,Thunnus
1943-E,Thunnus albacares,Thunnus
1903-A,Thunnus albacares,Thunnus
1903-H,Thunnus albacares,Thunnus
1904-A,Thunnus albacares,Thunnus
1904-G,Thunnus albacares,Thunnus
1908-A,Thunnus albacares,Thunnus
1909-I,Thunnus albacares,Thunnus
1909-Q,Thunnus albacares,Thunnus
1938-A,Thunnus albacares,Thunnus
1900-L,Thunnus albacares,Thunnus
1941-A,Thunnus albacares,Thunnus
1942-C,Thunnus albacares,Thunnus
1943-F,Thunnus albacares,Thunnus
1903-B,Thunnus albacares,Thunnus
1903-I,Thunnus albacares,Thunnus
1904-B,Thunnus albacares,Thunnus
1904-H,Thunnus albacares,Thunnus
1909-A,Thunnus albacares,Thunnus
1909-J,Thunnus albacares,Thunnus
1936-D,Thunnus albacares,Thunnus
1938-B,Thunnus albacares,Thunnus
1250-A,Rachycentron canadum,Rachycentron
1286-A,Scomberomorus cavalla,Scomberomorus
1286-I,Scomberomorus cavalla,Scomberomorus
1324-C,Scomberomorus cavalla,Scomberomorus
1258-D,Rachycentron canadum,Rachycentron
1258-L,Rachycentron canadum,Rachycentron
1258-T1,Rachycentron canadum,Rachycentron
1269-B,Scomberomorus cavalla,Scomberomorus
1270-E,Scomberomorus cavalla,Scomberomorus
1281-E,Scomberomorus cavalla,Scomberomorus
1282-E,Scomberomorus cavalla,Scomberomorus
1284-A,Scomberomorus cavalla,Scomberomorus
1250-B,Rachycentron canadum,Rachycentron
1286-B,Scomberomorus cavalla,Scomberomorus
1286-J,Scomberomorus cavalla,Scomberomorus
1325-A,Scomberomorus cavalla,Scomberomorus
1258-E,Rachycentron canadum,Rachycentron
1258-M,Rachycentron canadum,Rachycentron
1258-T2,Rachycentron canadum,Rachycentron
1269-C,Scomberomorus cavalla,Scomberomorus
1273-A,Scomberomorus cavalla,Scomberomorus
1281-F,Scomberomorus cavalla,Scomberomorus
1282-F,Scomberomorus cavalla,Scomberomorus
1284-B,Scomberomorus cavalla,Scomberomorus
1250-C,Rachycentron canadum,Rachycentron
1286-C,Scomberomorus cavalla,Scomberomorus
1286-K,Scomberomorus cavalla,Scomberomorus
1326-A,Scomberomorus cavalla,Scomberomorus
1258-F,Rachycentron canadum,Rachycentron
1258-N,Rachycentron canadum,Rachycentron
1258-T3,Rachycentron canadum,Rachycentron
1269-D,Scomberomorus cavalla,Scomberomorus
1273-B,Scomberomorus cavalla,Scomberomorus
1281-G,Scomberomorus cavalla,Scomberomorus
1283-A,Scomberomorus cavalla,Scomberomorus
1284-C,Scomberomorus cavalla,Scomberomorus
1250-D,Rachycentron canadum,Rachycentron
1286-D,Scomberomorus cavalla,Scomberomorus
1286-L,Scomberomorus cavalla,Scomberomorus
1327-A,Scomberomorus cavalla,Scomberomorus
1258-G,Rachycentron canadum,Rachycentron
1258-O,Rachycentron canadum,Rachycentron
1258-U,Rachycentron canadum,Rachycentron
1269-E,Scomberomorus cavalla,Scomberomorus
1273-C,Scomberomorus cavalla,Scomberomorus
1281-H,Scomberomorus cavalla,Scomberomorus
1283-B,Scomberomorus cavalla,Scomberomorus
1284-D,Scomberomorus cavalla,Scomberomorus
1250-E,Rachycentron canadum,Rachycentron
1286-E,Scomberomorus cavalla,Scomberomorus
1286-N,Scomberomorus cavalla,Scomberomorus
1327-B,Scomberomorus cavalla,Scomberomorus
1258-H,Rachycentron canadum,Rachycentron
1258-P,Rachycentron canadum,Rachycentron
1225-V,Rachycentron canadum,Rachycentron
1270-A,Scomberomorus cavalla,Scomberomorus
1281-A,Scomberomorus cavalla,Scomberomorus
1282-A,Scomberomorus cavalla,Scomberomorus
1283-C,Scomberomorus cavalla,Scomberomorus
1284-E,Scomberomorus cavalla,Scomberomorus
1258-A,Rachycentron canadum,Rachycentron
1286-F,Scomberomorus cavalla,Scomberomorus
1323-A,Scomberomorus cavalla,Scomberomorus
1327-C,Scomberomorus cavalla,Scomberomorus
1258-I,Rachycentron canadum,Rachycentron
1258-Q,Rachycentron canadum,Rachycentron
1258-W,Rachycentron canadum,Rachycentron
1270-B,Scomberomorus cavalla,Scomberomorus
1281-B,Scomberomorus cavalla,Scomberomorus
1282-B,Scomberomorus cavalla,Scomberomorus
1283-D,Scomberomorus cavalla,Scomberomorus
1284-F,Scomberomorus cavalla,Scomberomorus
1258-B,Rachycentron canadum,Rachycentron
1286-G,Scomberomorus cavalla,Scomberomorus
1324-A,Scomberomorus cavalla,Scomberomorus
1258-J,Rachycentron canadum,Rachycentron
1258-R,Rachycentron canadum,Rachycentron
1258-X,Rachycentron canadum,Rachycentron
1270-C,Scomberomorus cavalla,Scomberomorus
1281-C,Scomberomorus cavalla,Scomberomorus
1282-C,Scomberomorus cavalla,Scomberomorus
1283-E,Scomberomorus cavalla,Scomberomorus
1284-G,Scomberomorus cavalla,Scomberomorus
1258-C,Rachycentron canadum,Rachycentron
1286-H,Scomberomorus cavalla,Scomberomorus
1324-B,Scomberomorus cavalla,Scomberomorus
1258-K,Rachycentron canadum,Rachycentron
1258-S,Rachycentron canadum,Rachycentron
1269-A,Scomberomorus cavalla,Scomberomorus
1270-D,Scomberomorus cavalla,Scomberomorus
1281-D,Scomberomorus cavalla,Scomberomorus
1282-D,Scomberomorus cavalla,Scomberomorus
1283-F,Scomberomorus cavalla,Scomberomorus
1285-A,Scomberomorus cavalla,Scomberomorus
1250-F,Rachycentron canadum,Rachycentron
1273-D,Scomberomorus cavalla,Scomberomorus
1327-D,Scomberomorus cavalla,Scomberomorus
1549-A,Thunnus albacares,Thunnus
1554-G,Rachycentron canadum,Rachycentron
1554-O,Rachycentron canadum,Rachycentron
1518-B,Thunnus atlanticus,Thunnus
1518-I2,Thunnus atlanticus,Thunnus
1519-D,Coryphaena hippurus,Coryphaena
1519-J3,Coryphaena hippurus,Coryphaena
1546-G,Coryphaena hippurus,Coryphaena
1546-O,Coryphaena hippurus,Coryphaena
1546-W,Coryphaena hippurus,Coryphaena
1547-A,Thunnus atlanticus,Thunnus
1327-E,Scomberomorus cavalla,Scomberomorus
1549-B,Thunnus albacares,Thunnus
1554-H,Rachycentron canadum,Rachycentron
1554-P,Rachycentron canadum,Rachycentron
1518-C,Thunnus atlanticus,Thunnus
1518-I3,Thunnus atlanticus,Thunnus
1519-E,Coryphaena hippurus,Coryphaena
1519-K,Coryphaena hippurus,Coryphaena
1546-H,Coryphaena hippurus,Coryphaena
1546-P,Coryphaena hippurus,Coryphaena
1546-X1,Coryphaena hippurus,Coryphaena
1547-B,Thunnus atlanticus,Thunnus
1327-F,Scomberomorus cavalla,Scomberomorus
1554-A,Rachycentron canadum,Rachycentron
1554-I,Rachycentron canadum,Rachycentron
1554-Q,Rachycentron canadum,Rachycentron
1518-D,Thunnus atlanticus,Thunnus
1518-J,Thunnus atlanticus,Thunnus
1519-F,Coryphaena hippurus,Coryphaena
1519-L,Coryphaena hippurus,Coryphaena
1546-I,Coryphaena hippurus,Coryphaena
1546-Q,Coryphaena hippurus,Coryphaena
1546-X2,Coryphaena hippurus,Coryphaena
1547-C,Thunnus atlanticus,Thunnus
1327-G,Scomberomorus cavalla,Scomberomorus
1554-B,Rachycentron canadum,Rachycentron
1554-J,Rachycentron canadum,Rachycentron
1555-A,Rachycentron canadum,Rachycentron
1518-E,Thunnus atlanticus,Thunnus
1518-K,Thunnus atlanticus,Thunnus
1519-G,Coryphaena hippurus,Coryphaena
1519-M,Coryphaena hippurus,Coryphaena
1546-J,Coryphaena hippurus,Coryphaena
1546-R,Coryphaena hippurus,Coryphaena
1546-X3,Coryphaena hippurus,Coryphaena
1547-D,Thunnus atlanticus,Thunnus
1327-H,Scomberomorus cavalla,Scomberomorus
1554-C,Rachycentron canadum,Rachycentron
1554-K,Rachycentron canadum,Rachycentron
1555-B,Rachycentron canadum,Rachycentron
1518-F,Thunnus atlanticus,Thunnus
1518-L,Thunnus atlanticus,Thunnus
1519-H,Coryphaena hippurus,Coryphaena
1546-A,Coryphaena hippurus,Coryphaena
1546-K,Coryphaena hippurus,Coryphaena
1546-S,Coryphaena hippurus,Coryphaena
1546-Y,Coryphaena hippurus,Coryphaena
1547-E,Thunnus atlanticus,Thunnus
1327-I,Scomberomorus cavalla,Scomberomorus
1554-D,Rachycentron canadum,Rachycentron
1554-L,Rachycentron canadum,Rachycentron
1555-C,Rachycentron canadum,Rachycentron
1518-G,Thunnus atlanticus,Thunnus
1519-A,Coryphaena hippurus,Coryphaena
1519-I,Coryphaena hippurus,Coryphaena
1546-B,Coryphaena hippurus,Coryphaena
1546-L,Coryphaena hippurus,Coryphaena
1546-T,Coryphaena hippurus,Coryphaena
1546-Z,Coryphaena hippurus,Coryphaena
1547-F,Thunnus atlanticus,Thunnus
1331-A,Scomberomorus cavalla,Scomberomorus
1554-E,Rachycentron canadum,Rachycentron
1554-M,Rachycentron canadum,Rachycentron
1555-E,Rachycentron canadum,Rachycentron
1518-H,Thunnus atlanticus,Thunnus
1519-B,Coryphaena hippurus,Coryphaena
1519-J1,Coryphaena hippurus,Coryphaena
1546-C,Coryphaena hippurus,Coryphaena
1546-M,Coryphaena hippurus,Coryphaena
1546-U,Coryphaena hippurus,Coryphaena
1546-AA,Coryphaena hippurus,Coryphaena
1547-G,Thunnus atlanticus,Thunnus
1518-A,Thunnus atlanticus,Thunnus
1554-F,Rachycentron canadum,Rachycentron
1554-N,Rachycentron canadum,Rachycentron
1555-F,Rachycentron canadum,Rachycentron
1518-I1,Thunnus atlanticus,Thunnus
1519-C,Coryphaena hippurus,Coryphaena
1519-J2,Coryphaena hippurus,Coryphaena
1546-F,Coryphaena hippurus,Coryphaena
1546-N,Coryphaena hippurus,Coryphaena
1546-V,Coryphaena hippurus,Coryphaena
1546-BB,Coryphaena hippurus,Coryphaena
1547-H,Thunnus atlanticus,Thunnus
1555-G,Rachycentron canadum,Rachycentron
1836-K,Thunnus atlanticus,Thunnus
1836-S,Thunnus atlanticus,Thunnus
1836-AA,Thunnus atlanticus,Thunnus
1774-HH2,Thunnus atlanticus,Thunnus
1774-PP,Thunnus atlanticus,Thunnus
1822-A,Rhomboplites aurorubens,Rhomboplites
1832-A,Scomberomorus cavalla,Scomberomorus
1834-G,Seriola dumerili,Seriola
1835-H,Seriola dumerili,Seriola
1835-N1,Seriola dumerili,Seriola
1835-R,Seriola dumerili,Seriola
1556-A,Rachycentron canadum,Rachycentron
1836-L,Thunnus atlanticus,Thunnus
1836-T,Thunnus atlanticus,Thunnus
1836-BB,Thunnus atlanticus,Thunnus
1774-HH3,Thunnus atlanticus,Thunnus
1774-QQ,Thunnus atlanticus,Thunnus
1824-A,Rhomboplites aurorubens,Rhomboplites
1833-F,Rachycentron canadum,Rachycentron
1835-A,Seriola dumerili,Seriola
1835-I,Seriola dumerili,Seriola
1835-N2,Seriola dumerili,Seriola
1836-B,Thunnus atlanticus,Thunnus
1561-A,Rachycentron canadum,Rachycentron
1836-M,Thunnus atlanticus,Thunnus
1836-U,Thunnus atlanticus,Thunnus
1836-CC,Thunnus atlanticus,Thunnus
1774-JJ,Thunnus atlanticus,Thunnus
1776-A,Thunnus atlanticus,Thunnus
1824-B,Rhomboplites aurorubens,Rhomboplites
1834-A,Seriola dumerili,Seriola
1835-B,Seriola dumerili,Seriola
1835-J,Seriola dumerili,Seriola
1835-N3,Seriola dumerili,Seriola
1836-E,Thunnus atlanticus,Thunnus
1563-A,Rachycentron canadum,Rachycentron
1836-N,Thunnus atlanticus,Thunnus
1836-V,Thunnus atlanticus,Thunnus
1837-A,Thunnus atlanticus,Thunnus
1774-KK,Thunnus atlanticus,Thunnus
1776-B,Thunnus atlanticus,Thunnus
1824-C,Rhomboplites aurorubens,Rhomboplites
1834-B,Seriola dumerili,Seriola
1835-C,Seriola dumerili,Seriola
1835-K,Seriola dumerili,Seriola
1835-O1,Seriola dumerili,Seriola
1836-F,Thunnus atlanticus,Thunnus
1564-A,Rachycentron canadum,Rachycentron
1836-O,Thunnus atlanticus,Thunnus
1836-W,Thunnus atlanticus,Thunnus
1837-B,Thunnus atlanticus,Thunnus
1774-LL,Thunnus atlanticus,Thunnus
1776-C,Thunnus atlanticus,Thunnus
1825-A,Rhomboplites aurorubens,Rhomboplites
1834-C,Seriola dumerili,Seriola
1835-D,Seriola dumerili,Seriola
1835-L,Seriola dumerili,Seriola
1835-O2,Seriola dumerili,Seriola
1836-G,Thunnus atlanticus,Thunnus
1570-A,Rachycentron canadum,Rachycentron
1836-P,Thunnus atlanticus,Thunnus
1836-X,Thunnus atlanticus,Thunnus
1837-C,Thunnus atlanticus,Thunnus
1774-MM,Thunnus atlanticus,Thunnus
1780-A,Elagatis bipinnulata,Elagatis
1829-A,Seriola dumerili,Seriola
1834-D,Seriola dumerili,Seriola
1835-E,Seriola dumerili,Seriola
1835-M1,Seriola dumerili,Seriola
1835-O3,Seriola dumerili,Seriola
1836-H,Thunnus atlanticus,Thunnus
1588-A,Scomberomorus cavalla,Scomberomorus
1836-Q,Thunnus atlanticus,Thunnus
1836-Y,Thunnus atlanticus,Thunnus
1837-D,Thunnus atlanticus,Thunnus
1774-NN,Thunnus atlanticus,Thunnus
1817-A,Rhomboplites aurorubens,Rhomboplites
1831-A,Scomberomorus cavalla,Scomberomorus
1834-E,Seriola dumerili,Seriola
1835-F,Seriola dumerili,Seriola
1835-M2,Seriola dumerili,Seriola
1835-P,Seriola dumerili,Seriola
1836-I,Thunnus atlanticus,Thunnus
1774-HH1,Thunnus atlanticus,Thunnus
1836-R,Thunnus atlanticus,Thunnus
1836-Z,Thunnus atlanticus,Thunnus
1837-E,Thunnus atlanticus,Thunnus
1774-OO,Thunnus atlanticus,Thunnus
1820-A,Rhomboplites aurorubens,Rhomboplites
1831-B,Scomberomorus cavalla,Scomberomorus
1834-F,Seriola dumerili,Seriola
1835-G,Seriola dumerili,Seriola
1835-M3,Seriola dumerili,Seriola
1835-Q,Seriola dumerili,Seriola
1836-J,Thunnus atlanticus,Thunnus
1395-A,Scomberomorus cavalla,Scomberomorus
1395-B,Scomberomorus cavalla,Scomberomorus
1395-C,Scomberomorus cavalla,Scomberomorus
1395-D,Scomberomorus cavalla,Scomberomorus
1395-E,Scomberomorus cavalla,Scomberomorus
1395-F,Scomberomorus cavalla,Scomberomorus
1395-G,Scomberomorus cavalla,Scomberomorus
1395-H,Scomberomorus cavalla,Scomberomorus
